ingredient,skin_type,effect,confidence
mangifera indica seed butter mango seed butter,dry,good,low
mango butter,dry,good,low
mango butter extract,dry,good,low
mango butter from natural origin,dry,good,low
maracuja oil,dry,good,low
maracuja seed oil,dry,good,low
marine bamboo,"oily,sensitive",good,low
marine bioferments,"sensitive,dry",good,low
marine bioferments and vegan ceramide complex,"dry,sensitive",good,medium
marine collagen peptides,wrinkle,good,low
marine fennel,normal,neutral,low
marine metabolites,normal,neutral,low
marine plankton,normal,neutral,low
marine plant oils,dry,good,low
maritime pine complex,normal,neutral,low
marula butter,dry,good,low
marula butter and marula oil,dry,good,low
marula oil,dry,good,low
marula seed oil,dry,good,low
matricaria recutita essential oil,dry,good,low
matrixyl 3000 and matrixyl synthe-6 peptide complexes,wrinkle,good,low
matrixyl 3000 peptide blend,wrinkle,good,low
matsu-prosculpt complex,normal,neutral,low
mauritia felxuosa fruit oil,dry,good,low
mauritia fruit oil,dry,good,low
may contain,normal,neutral,low
may contain +,normal,neutral,low
may contain [+ -],normal,neutral,low
may contain peur contenir,normal,neutral,low
may contain peut contenir,normal,neutral,low
may contain peut contenir [,normal,neutral,low
me[1]laleuca alternifolia leaf oil,dry,good,low
meadowfoam oil,dry,good,low
medical grade silicone,,neutral,low
melaleuca alternifolia ethylhexylglycerin,"dry,sensitive",good,medium
melaleuca alternifolia lead oil,dry,good,low
melaleuca viridiflora leaf oil,dry,good,low
melanin boosters,normal,neutral,low
melissa officinalis leaf oil,dry,good,low
mentha arvensis leaf oil,dry,good,low
mentha piperita flower leaf stem oil,dry,good,low
mentha piperita flower stem leaf oil,dry,good,low
mentha piperita oil,dry,good,low
mentha piperita oil peppermint oil,dry,good,low
mentha piperita stem leaf oil,dry,good,low
mentha pulegium,normal,neutral,low
mentha spicata leaf oil,dry,good,low
menthol,normal,neutral,low
menthone glycerin acetal,"dry,sensitive",good,medium
mesua ferrea,normal,neutral,low
methone glycerin acetal,"dry,sensitive",good,medium
methyl anthranilate,normal,neutral,low
methyl eugenol,sensitive,avoid,low
methyl lactate,,neutral,low
methyl methacrylate,,neutral,low
methylisothiazolinone*essential oil,dry,good,low
mica and silica,,neutral,low
micellar cleansing complex,normal,neutral,low
michelia alba flower oil,dry,good,low
michelia alba leaf oil,dry,good,low
micro and macro hyaluronic acid and niacinamide,"oily,pigmentation",good,medium
micro essence skin act treat lot division,normal,neutral,low
micro hyaluronic acid,"dry,sensitive",good,medium
micro-algae peptides,wrinkle,good,low
microalgae oil,dry,good,low
microcrystalline cellulose persea gratissima oil,dry,good,low
microcurrent-inspired amino acid peptide,wrinkle,good,low
microencapsulated hyaluronic acid,"dry,sensitive",good,medium
microencapsulated hyaluronic acids,"dry,sensitive",good,medium
microencapsulated retinol complex,wrinkle,good,medium
micronized powders,normal,neutral,low
miel),normal,neutral,low
mild tensides,normal,neutral,low
milk thistle,normal,neutral,low
mineral oil\paraffinum liquidum\huile minerale,dry,good,low
mineral oil\paraffinum liquidum\huile minérale,dry,good,low
mineral zinc oxide,sensitive,good,medium
mineral-based complex,,neutral,low
mineral-rich kaolin clay,,neutral,low
minimizes pores,normal,neutral,low
mint and lemon balm essential oils,dry,good,low
mirsalehi-bee-garden oil blend,dry,good,low
moisture matrix technology,normal,neutral,low
moisturizing agent,normal,neutral,low
moisturizing complex,normal,neutral,low
mokaté melon oil,dry,good,low
monk juice,normal,neutral,low
monoi oil,dry,good,low
mood-boosting,normal,neutral,low
more even,normal,neutral,low
more even-looking complexion -phytic acid with pumpkin,,neutral,low
more resilient,normal,neutral,low
moringa oil,dry,good,low
moringa oils,dry,good,low
moringa oleiferaseed oil,dry,good,low
moringa seed oil,dry,good,low
msm,normal,neutral,low
multi ceramide complex,"dry,sensitive",good,medium
multi molecular hyaluronic acid,"dry,sensitive",good,medium
multi-peptide complex,wrinkle,good,low
multiple weights of hyaluronic acid,"dry,sensitive",good,medium
murumuru & mango butters,dry,good,low
murumuru seed,normal,neutral,low
mushroom peptides,wrinkle,good,low
mutli molecular hyaluronic acid,"dry,sensitive",good,medium
myristca fragrans kernel oil,dry,good,low
myroxylon pereirae oil,dry,good,low
n-prolyl palmitoyl tripeptide-56 acetate,wrinkle,good,low
nardostachys chinensis root oil,dry,good,low
natural 8-acid complex,normal,neutral,low
natural aha,"oily,pigmentation",good,low
natural bamboo and pea peptides,wrinkle,good,low
natural beauty c10-30 cholesterol lanosterol esters,"dry,sensitive",good,low
natural bha from white willow bark extract,oily,good,low
natural bioretinols,wrinkle,good,medium
natural cholesterol,"dry,sensitive",good,low
natural colorant,normal,neutral,low
natural flavor,normal,neutral,low
natural fragrance *certified organic,sensitive,avoid,medium
natural green clay,oily,good,low
natural hinoki oil blend,dry,good,low
natural marula and avocado oil,dry,good,low
natural mediterranean olive squalane,dry,good,medium
natural oil blend,dry,good,low
natural olive and macademia nut oils,dry,good,low
natural origin mango butter,dry,good,low
natural origin shea butter,dry,good,low
natural peptides and portulaca pilosa extracts,wrinkle,good,low
natural phytosteroid,normal,neutral,low
natural red-root and jojoba oils,dry,good,low
natural salicylic acid,oily,good,medium
natural white pine oil,dry,good,low
natural zinc,normal,neutral,low
naturalizer pearlizers,normal,neutral,low
neem seed oil,dry,good,low
neem seed oil -glycolic and lactic acids,"oily,pigmentation,dry",good,medium
nelumbium nucifera,normal,neutral,low
nelumbo nucifera,normal,neutral,low
nelumbo nucifera flower oil,dry,good,low
nerol),normal,neutral,low
network of hyaluronic acid molecules,"dry,sensitive",good,medium
neutralizing complex,normal,neutral,low
next-gen hyaluronic acid,"dry,sensitive",good,medium
next-generation acetylated hyaluronic acid,"dry,sensitive",good,medium
niacinamide & vitamin c,"oily,pigmentation",good,medium
niacinamide (vitamin b3,"oily,pigmentation",good,medium
niacinamide + japanese mugwort,"oily,pigmentation",good,medium
niacinamide + papain,"oily,pigmentation",good,medium
niacinamide and ash bark extract,"oily,pigmentation",good,medium
niacinamide and ectoin,"oily,pigmentation",good,medium
niacinamide and hyaluronic acid,"oily,pigmentation",good,medium
niacinamide and panthenol,"oily,pigmentation",good,medium
niacinamide and picolinamide,"oily,pigmentation",good,medium
niacinamide and revital-eyes,"oily,pigmentation",good,medium
niacinamide and squalane,"oily,pigmentation",good,medium
niacinamide and two fatty acids,"oily,pigmentation",good,medium
niacinamide blend,"oily,pigmentation",good,medium
niacinamide has a wide range of benefits,"oily,pigmentation",good,medium
"niacinamide,","oily,pigmentation",good,medium
"niacinamide,glycerin","oily,pigmentation",good,medium
nicotiana benthamiana hexapeptide-40 sh-oligopeptide-1,wrinkle,good,low
nicotiana benthamiana hexapeptide-40 sh-polypeptide-2,wrinkle,good,low
nicotiana benthamiana hexapeptide-40 sh-polypeptide-47,wrinkle,good,low
nicotiana benthamiana hexapeptide-40 sh-polypeptide-76,wrinkle,good,low
nicotiana benthamiana octapeptide-30 sh-oligopeptide-2,wrinkle,good,low
nicotiana benthanmiana hexapeptide-40 sh-polypeptide-76,wrinkle,good,low
"nigella sativa seed oil,sodium polyacrylate",dry,good,low
nmt,normal,neutral,low
non-nano mineral zinc oxide,sensitive,good,medium
non-nano zinc oxide,sensitive,good,medium
noni fruit,normal,neutral,low
nordic peat,normal,neutral,low
nourish and soften glycerin,"dry,sensitive",good,medium
np),normal,neutral,low
nucifera oil,dry,good,low
nurtures and protects ricinus communis seed oil,dry,good,low
nutripeptide blend,wrinkle,good,low
nutritious vitality8 egy lot int m division,normal,neutral,low
nylon 6 12,normal,neutral,low
nylon- 12,normal,neutral,low
nylon-6,normal,neutral,low
oat kernel oil,dry,good,low
ocimum basilicum oil,dry,good,low
ocimum basillicum oil,dry,good,low
ocimum sanctum,normal,neutral,low
octisalate 45%alcohol denat,,avoid,low
octyl dodecanol,normal,neutral,low
"octyldodecanol,glycerin","dry,sensitive",good,medium
octyldodecyl xyloside,normal,neutral,low
odorata flower oil,dry,good,low
oenothera biennis oil evening primrose oil,dry,good,low
oenothera biennis oil oenothera biennis oil,dry,good,low
oenothera biennis seed oil,dry,good,low
oil phase,"oily,pigmentation",good,medium
oil-absorbent clay water,dry,good,low
oil-absorbing microspheres,dry,good,low
oil-absorbing spheres,dry,good,low
oil-absorbing technology,dry,good,low
oil-soluble,dry,good,low
oil-soluble hyaluronic acid blend,"dry,sensitive",good,medium
oil-trapping microspheres,dry,good,low
oiliness,dry,good,low
olea euro- paea leaf extract,"dry,sensitive,wrinkle",good,low
olea europaea fruit oil olea europaea fruit oil,dry,good,low
olea europaea fruit oil oleaeuropaea fruit oil,dry,good,low
olea europaea olive oil,dry,good,low
olea europaea seed powder,normal,neutral,low
olea europaea seed powder olive seed powder,dry,good,low
olea europea oil,dry,good,low
olea europeaea fruit oil,dry,good,low
oligo-hyaluronic acid,"dry,sensitive",good,medium
oligopeptide-1,wrinkle,good,low
oligopeptide-177,wrinkle,good,low
oligopeptide-2,wrinkle,good,low
oligopeptide-29,wrinkle,good,low
oligopeptide-76,wrinkle,good,low
oligopeptide-78,wrinkle,good,low
olive fruit oil and jojoba water,dry,good,low
olive glyceridees,dry,good,low
olive oil,dry,good,low
olive oil decyl esters,dry,good,low
olive oil glycerth 8 esters,dry,good,low
olive oil glyceryth-8 esters,dry,good,low
olive squalane,dry,good,medium
olive-derived squalane,dry,good,medium
olus (vegetable oil,dry,good,low
olus oil,dry,good,low
olus oil (vegetable oil,dry,good,low
olus oil huile végétale,dry,good,low
olus oil vegetable oil huile végétale,dry,good,low
olus vegetable oil,dry,good,low
olus vegetable oil huile végétale,dry,good,low
olus vegetable oil huile végétale,dry,good,low
omega 3 fish oil,dry,good,low
omega fatty acids,"dry,wrinkle",good,low
omega fatty acids & antioxidants water,"dry,wrinkle",good,low
omega oil complex,dry,good,low
omega peptide complex,wrinkle,good,low
opoponax oil,dry,good,low
optical-diffusing silica silylate,oily,good,low
optimized surface release retinol,wrinkle,good,medium
opuntia ficus-indica seed oil,dry,good,low
orange 5,normal,neutral,low
orange blossom peptides,wrinkle,good,low
orange juice,normal,neutral,low
orange oil,dry,good,low
orange peel,normal,neutral,low
organic alcohol denat,,avoid,low
organic argan oil,dry,good,low
organic argania spinosa kernel oil* *organic **natural,dry,good,low
organic camellia oleifera seed oil,dry,good,low
organic carthamus tinctorius seed oil,dry,good,low
organic citrus aurantium begamia fruit oil,dry,good,low
organic cocos nucifera oil,dry,good,low
organic fair-trade shea butter,dry,good,low
organic flavors,normal,neutral,low
organic geranium oil,dry,good,low
organic guarana,normal,neutral,low
organic helianthus annuus seed oil,dry,good,low
organic immortelle essential oil,dry,good,low
organic lavender flower essential oil,dry,good,low
organic lavender oil** essential oil,dry,good,low
organic mandarin oil,dry,good,low
organic mauritia flexuosa fruit oil,dry,good,low
organic mct oil,dry,good,low
organic oenothera biennis oil,dry,good,low
organic olea europaea fruit oil,dry,good,low
organic olea europea oil,dry,good,low
organic patchouli oil,dry,good,low
organic prickly pear oil,dry,good,low
organic rosehip seed oil,"dry,pigmentation",good,low
organic rubus idaeus seed oil,dry,good,low
organic shea butter,dry,good,low
organic simmondsia chinensis seed oil,dry,good,low
organic sucrose essential oil,dry,good,low
organic sunflower oil,dry,good,low
organic sweet orange peel essential oil,dry,good,low
origanum heracleoticum flower oil,dry,good,low
origanum majorana leaf oil,dry,good,low
origanum vulgare leaf oil,dry,good,low
origanum vulgare oil,dry,good,low
ormenis multicaulis flower oil,dry,good,low
oryza sativa,normal,neutral,low
oryza sativa bran oil emollient,dry,good,low
oryza sativa bran oil oryza sativa bran oil,dry,good,low
oryza sativa bran oil rice bran oil,dry,good,low
outer 100% silk,normal,neutral,low
palargonium graveolens flower oil,dry,good,low
palmitoyal carnitine,normal,neutral,low
palmitoyl decapeptide-21,wrinkle,good,low
palmitoyl dipeptide- 7,wrinkle,good,low
palmitoyl dipeptide-5 diaminohy-hydroxybutyrate,wrinkle,good,low
palmitoyl dipeptide-5 diaminonhydroxybutyrate,wrinkle,good,low
palmitoyl heptapeptide-18,wrinkle,good,low
palmitoyl hexapeptide,wrinkle,good,low
palmitoyl hydroxproline peptides,wrinkle,good,low
palmitoyl hydroxypropyltrimonium,wrinkle,good,low
palmitoyl pentapeptide-3,wrinkle,good,medium
palmitoyl tetrapeptide-3,wrinkle,good,low
palmitoyl tripeptide- 5,wrinkle,good,low
palmitoyl tripeptide-28,wrinkle,good,low
"panthenol ,tocopheryl acetate","dry,sensitive",good,medium
panthenol and beta-glucan,"dry,sensitive",good,medium
"panthenol,allantoin","dry,sensitive",good,medium
"panthenol,carbomer","dry,sensitive",good,medium
papain enzymes and salicylic acid,oily,good,medium
paradisis peel oil,dry,good,low
paraffinum liquidum (mineral oil,dry,good,low
paraffinum liquidum mineral oil,dry,good,low
"parfum ,1,2-hexanediol",,neutral,low
"parfum ,peg-8",sensitive,avoid,medium
"parfum ,sodium stearoyl glutamate",sensitive,avoid,medium
parfum fragrance •,sensitive,avoid,medium
parmelia perlata,normal,neutral,low
passi ora edulis seed oil,dry,good,low
passiflora incarnata oil,dry,good,low
passiflora incarnata seed oil,dry,good,low
passion flower,normal,neutral,low
passionflower oil and cornflower water,dry,good,low
passionfruit oil,dry,good,low
patented echinacea purpurea 'greenenvytm' root extract,"dry,sensitive,wrinkle",good,low
patented peptides,wrinkle,good,low
patented tri-enzyme technology,normal,neutral,low
patented vine sap viniferine,normal,neutral,low
patented vine sap-derived viniferine,normal,neutral,low
"paullinia cupana seed extract,eugenol",sensitive,avoid,low
peach resin,normal,neutral,low
pearlescent minerals,,neutral,low
pearlescent shine,normal,neutral,low
peg,normal,neutral,low
peg- 60 hydrogenated castor oil,dry,good,low
"peg-100 stearate,lavandula angustifolia oil lavender oil",dry,good,low
peg-35 castor oil,dry,good,low
peg-40 castor oil,dry,good,low
peg-40 hydrogenated caster oil,dry,good,low
peg-40 hydrogenated castoroil,dry,good,low
"peg-40 stearate,hyaluronic acid","dry,sensitive",good,medium
"peg-40 stearate,tocopheryl acetate",,neutral,low
peg-40hydrogenated castor oil,dry,good,low
peg-50 shea butter,dry,good,low
peg-60 hydrogenat-ed castor oil,dry,good,low
peg60hydrogenated castor oil,dry,good,low
pelargonium graveolens flower essential oil,dry,good,low
pelargonium graveolens flower oil+,dry,good,low
pelargonium graveolens flower oil++,dry,good,low
"pelargonium graveolens flower oil,citral",sensitive,avoid,low
pelargonium graveolens leaf flower oil,dry,good,low
pelargonium graveolens stem leaf oil,dry,good,low
pentaclethra macroloba oil,dry,good,low
pentaerythirityl tetraethylhexanoate,"dry,sensitive",good,low
pentaerythrityl tetrathylhexanoate,"dry,sensitive",good,low
pentlyene glycol,normal,neutral,low
peony root complex,normal,neutral,low
peppermint oil,dry,good,low
peptide,wrinkle,good,low
peptide and adenosine,wrinkle,good,low
peptide and tranexamic acid,pigmentation,good,medium
peptide blend,wrinkle,good,low
peptide complex,wrinkle,good,low
peptide complex and ceramides,"dry,sensitive",good,medium
peptide-lipid complex,wrinkle,good,low
peptides,wrinkle,good,low
peptides + ceramides,"dry,sensitive",good,medium
peptides and bakuchiol,"wrinkle,sensitive",good,medium
peptides and grape extract,wrinkle,good,low
peptides and green caffeine,"oily,pigmentation",good,low
peptides and optical blurring powders,wrinkle,good,low
peptides reduce the appearance of wrinkles aqua,wrinkle,good,low
perfectionist cp+r division,normal,neutral,low
perfectionist pro rpd frm+lift trt division,normal,neutral,low
perfume fragrance,sensitive,avoid,medium
perilla ocymoides leaf stem oil,dry,good,low
persea gratissima oil avocado oil,dry,good,low
persea gratissima oil oil),dry,good,low
persea gratissima oil unsaponifiables,dry,good,low
persea gratissima seed oil,dry,good,low
petitgrain oil,dry,good,low
petroselinum crispum seed oil,dry,good,low
pha and azelaic acid,"oily,pigmentation",good,medium
pha and bha,"oily,pigmentation",good,medium
phaseolous trilobus,"oily,pigmentation",good,medium
phenolic compounds,normal,neutral,low
phenoxyethanol *organic essential oils,,neutral,low
phenoxyethanol *organic olive oil,,neutral,low
phenoxyethanol may contain,,neutral,low
"phenoxyethanol,ethylhexylglycerin",,neutral,low
"phenoxyethanol,lactic acid",,neutral,low
phenoxythanol,normal,neutral,low
phenyl trimethicone glycerin dipropylene glycol,"dry,sensitive",good,medium
phosphatidylglycerol,"oily,pigmentation",good,medium
phospholipids and sodium pca,,neutral,low
physical exfoliants,normal,neutral,low
phytase),normal,neutral,low
phytic acid and pumpkin enzymes,normal,neutral,low
phytosteryl isostearate,,neutral,low
phytosteryl sunflowerseedate,dry,good,low
pineapple ceramide,"oily,pigmentation",good,low
pineapple enzyme,"oily,pigmentation",good,low
pink pepper,normal,neutral,low
pink pepperslim,normal,neutral,low
pink salt,normal,neutral,low
piper nigrum seed oil,dry,good,low
piperonyl glucoside,normal,neutral,low
pistacia integerrima,normal,neutral,low
plant glycerin,"dry,sensitive",good,medium
plant oils,dry,good,low
plant peptides,wrinkle,good,low
plant probiotics,normal,neutral,low
plant squalane,dry,good,medium
plant-based ceramides,"dry,sensitive",good,medium
plant-based hydration complex,normal,neutral,low
plant-based plumping complex,normal,neutral,low
plant-based squalane,dry,good,medium
plant-based waxes and butters,dry,good,low
plant-derived glycerin,"dry,sensitive",good,medium
plant-derived hyaluronic acid,"dry,sensitive",good,medium
plant-derived oils,dry,good,low
plant-derived squalane,dry,good,medium
plant-derived squalene,dry,good,low
plant-powered retinol,wrinkle,good,medium
plastic handle,normal,neutral,low
please consult the packaging of the product purchased,,neutral,low
plump oleactif,normal,neutral,low
plumping complex,normal,neutral,low
plus oil,dry,good,low
pogostemon cablin leaf oil,dry,good,low
pogostemon cablin oil essential oil for fragrance,sensitive,avoid,medium
pollution residue,normal,neutral,low
pollution shield complex,normal,neutral,low
poloxamer 123,normal,neutral,low
poloxamer 235,normal,neutral,low
polyester,normal,neutral,low
polyglutamic acid + hyaluronic acid,"dry,sensitive",good,medium
polyglycerol-10 oleate,,neutral,low
polylactic acid,"oily,pigmentation,dry",good,medium
polymethylsilsesquioxane trimethylsiloxysilicate,oily,good,low
polypeptide blend,wrinkle,good,low
polypeptide-121,wrinkle,good,low
polypeptide-9,wrinkle,good,low
pomegranate and jojoba oil complex,dry,good,low
pomegranate spheres,"pigmentation,wrinkle",good,low
pomegranate sterols,"pigmentation,wrinkle",good,low
pore-shrinking complex,normal,neutral,low
porphyridium cruentum,normal,neutral,low
postbiotic lactobacillus ferment and glycerin,"dry,sensitive",good,medium
potassium behenate,,neutral,low
potassium bitartrate,,neutral,low
"potassium cetyl phosphate,tetrahexyldecyl ascorbate","oily,pigmentation",good,medium
potassium hyaluronate,"dry,sensitive",good,medium
potassium hydroxidw,,neutral,low
potassium palmate,,neutral,low
potassium sorbate palmitoyl tripeptide-5,,neutral,low
potassium sorbet,,neutral,low
potassium sterate,,neutral,low
potent blend of salicylic acid and glucosamine,oily,good,medium
potent ceramide blend,"dry,sensitive",good,medium
potent retinoid,normal,neutral,low
powder technology,normal,neutral,low
power 5c vitamin complex,"pigmentation,wrinkle",good,medium
power peptide complex,wrinkle,good,low
powerful peptides,wrinkle,good,low
"ppg-¬‐6-¬‐ decyltetradeceth-¬‐ 20,ethylhexylglycerin","dry,sensitive",good,medium
prebiotic complex,normal,neutral,low
prebiotic lactic acid and inulin,"oily,pigmentation,dry",good,medium
prebiotic moisture complex,normal,neutral,low
preforpro prebiotic,normal,neutral,low
prickly pear oil,dry,good,low
prickly pear seed oil,dry,good,low
pro ceramides,"dry,sensitive",good,medium
probiotic technology,normal,neutral,low
probiotic-derived complex,normal,neutral,low
prolinamidoethyl imidazole,normal,neutral,low
promote hydration,normal,neutral,low
promoting strong,normal,neutral,low
propa nediol,normal,neutral,low
propeptide3,wrinkle,good,low
proprietary ceramide-building complex,"dry,sensitive",good,medium
proprietary honey blend and shea butter,dry,good,low
proprietary superberry complex,normal,neutral,low
proprietary vita-c complex,normal,neutral,low
propylene gylcol,normal,neutral,low
protein and peptide complex,wrinkle,good,low
providing skin-loving moisture and antioxidants glycerin,"dry,sensitive",good,medium
prunus amygdalus amara kernel oil,dry,good,low
prunus amygdalus dulcis oil prunus amygdalus dulcis oil,dry,good,low
prunus amygdalus dulcis oil sweet almond oil,dry,good,low
prunus amygdalusdulcis oil sweet almond oil,dry,good,low
prunus armeniaca kernel oil apricot kernel oil,dry,good,low
prunus avium seed oil prunus avium seed oil,dry,good,low
prunus cerasoides,normal,neutral,low
prunus domestica oil,dry,good,low
prunusdomestica seed oil,dry,good,low
pseudozyma epicola evening primrose oil ferment extract,dry,good,low
pseudozyma epicola olive fruit oil ferment filtrate,dry,good,low
pu foam,normal,neutral,low
pueraria tuberosa,normal,neutral,low
pumpkin seed oil,dry,good,low
pure encapsulated retinol,wrinkle,good,medium
pure l-ascorbic acid,"pigmentation,wrinkle",good,medium
pure retinol,wrinkle,good,medium
pure unfiltered rosehip oil,"dry,pigmentation",good,low
pure vitamin c,"pigmentation,wrinkle",good,medium
purified and micronized hyaluronic acid,"dry,sensitive",good,medium
purified lactic acid,"oily,pigmentation,dry",good,medium
purify pores,normal,neutral,low
purify skin,normal,neutral,low
"pyridoxine hcl ,silica",oily,good,low
pyroglutamylamidoethyl indole,normal,neutral,low
quadruple hyaluronic acid blend,"dry,sensitive",good,medium
quaternium-18 bentonite,normal,neutral,low
quaternium-90 bentonite,normal,neutral,low
quinoa plant peptides,wrinkle,good,low
r2 sheet mask division,normal,neutral,low
radiance technology,normal,neutral,low
radiant look glycerin,"dry,sensitive",good,medium
rapeseed seed oil,dry,good,low
red 28,normal,neutral,low
red algae complex,"dry,sensitive",good,low
red raspberry seed oil,dry,good,low
red raspberry seed oil *certified organic,dry,good,low
red-algae marigel and castor seed and olus oils,dry,good,low
reduce irritation,normal,neutral,low
reduce shine,normal,neutral,low
reduce stress-related effects on the body,,neutral,low
reduce the look of dark spots,normal,neutral,low
refined bilberry seed oil,dry,good,low
refined glycerine,"dry,sensitive",good,medium
refining and smoothing textured skin salicylic acid,oily,good,medium
regenerating cleanser,normal,neutral,low
reishi mushroom,"wrinkle,sensitive",good,low
reishi mushrooms,"wrinkle,sensitive",good,low
rejuvenating serum,normal,neutral,low
removes impurities,normal,neutral,low
removing bacteria,normal,neutral,low
ren products are free from synthetic fragrance,sensitive,avoid,medium
reneura technology++,normal,neutral,low
repairative moisturizer,normal,neutral,low
replenish moisture,normal,neutral,low
res lift firm sclp face nc spf15 division,"sensitive,pigmentation",good,low
res lift frm sclp eye creme division,normal,neutral,low
restore barrier,normal,neutral,low
restore clarity,normal,neutral,low
restores suppleness,normal,neutral,low
resurfacing mask,normal,neutral,low
resurfacing retinoid,normal,neutral,low
resurrection plant,normal,neutral,low
retain moisture,normal,neutral,low
retinal,wrinkle,good,low
retinoic nutrient face oil,dry,good,low
retinoid,normal,neutral,low
retinoid complex,normal,neutral,low
retinoid ester,normal,neutral,low
retinoid ester and liposome-encapsulated retinol,wrinkle,good,medium
retinoids,normal,neutral,low
retinol alternative extracts,wrinkle,good,medium
retinol and retinal,wrinkle,good,medium
retinol and salicylic acid,oily,good,medium
retinol molecules,wrinkle,good,medium
retinol tri-active technology,wrinkle,good,medium
retinol youth renewal eye serum,wrinkle,good,medium
retinol youth renewal night cream,wrinkle,good,medium
retinol youth renewal serum,wrinkle,good,medium
retinol-mimicking peptide,wrinkle,good,medium
retinyl,normal,neutral,low
retinyl palmitate and shea butter,dry,good,low
retinyl palmitate carrot polypeptide,wrinkle,good,low
retinyl sunflowerate,dry,good,low
revealing radiant,normal,neutral,low
revitalizing supreme+ cell pwr crm division,normal,neutral,low
rh-oligopeptide-2,wrinkle,good,low
rhodiola rosea,"wrinkle,sensitive",good,low
rice and olive oil esters,dry,good,low
rice bran wax and glycerin,"dry,sensitive",good,medium
rice bran-derived phytic acid,normal,neutral,low
rice germ oil,dry,good,low
rice hulls,normal,neutral,low
rice oil,dry,good,low
rice oil glycereth-8 esters,dry,good,low
rich emollients,dry,good,low
rich in vitamin e water,"pigmentation,wrinkle",good,low
rich omegas,"dry,wrinkle",good,low
ricinus communis seed oil [ricinus communis oil],dry,good,low
ricinus communis seed oil castor seed oil,dry,good,low
rosa bourboniana flower oil,dry,good,low
"rosa canina fruit oil,moringa oleifera seed extract",dry,good,low
rosa canina l oil,dry,good,low
rosa centifolia flower oil,dry,good,low
rosa damasce-na flower oil,dry,good,low
rosa damascena,normal,neutral,low
rosa damascena oil essential oil for fragrance,sensitive,avoid,medium
rosa multiflora seed oil,dry,good,low
rosa roxburghii,normal,neutral,low
rosa spp rose flower oil,dry,good,low
rosamarinus officinalis leaf oil+,dry,good,low
rose absolute,"dry,sensitive",good,low
rose canina fruit oil,dry,good,low
rose damascena flower oil,dry,good,low
rose damascena oil,dry,good,low
rose essential oil,dry,good,low
rose flower oil jasminum officinale extract,"dry,sensitive",good,low
rose geranium and camphor,"dry,sensitive",good,low
rose hip seed oil,"dry,pigmentation",good,low
rose quartz,"dry,sensitive",good,low
rose scent,"dry,sensitive",good,low
rosehip fruit oil,"dry,pigmentation",good,low
rosehip oil,"dry,pigmentation",good,low
rosehip seed oil,"dry,pigmentation",good,low
rosemary and rose essential oils,dry,good,low
rosemary extract and sunflower seed oil,dry,good,low
rosemary leaf oil and peppermint stem leaf oil,dry,good,low
rosemary oil and water extract,dry,good,low
rosemary peptide complex,wrinkle,good,low
rosmarinus of cinalis leaf oil,dry,good,low
rosmarinus offici-nalis leaf essential oil,dry,good,low
rosmarinus officina-lis leaf oil rosemary leaf oil,dry,good,low
rosmarinus officinalis leaf essential oil,dry,good,low
rosmarinus officinalis leaf oil rosemary leaf oil,dry,good,low
rosmarinus officinalis leaf oil++,dry,good,low
rosmarinus officinalis leafoil,dry,good,low
rosmarinus officinalis oil,dry,good,low
rubia cordifolia,normal,neutral,low
rubus chamaemorus seed oil,dry,good,low
rubus ldaeus seed oil,dry,good,low
ruby crystal complex,normal,neutral,low
saccarhide isomerate,normal,neutral,low
saccharide isomarate,normal,neutral,low
saccharide isomerate and sodium pca,,neutral,low
sacha inchi,normal,neutral,low
sacha inchi oil,dry,good,low
safflower oil,dry,good,low
safflower oil palm oil aminopropanediol esters,dry,good,low
saffron and goji seed oil,dry,good,low
sakura-bright complex,normal,neutral,low
sakura-bright system,normal,neutral,low
salicylic,oily,good,medium
salicylic acid 1%,oily,good,medium
salicylic acid 2% and niacinamide,"oily,pigmentation",good,medium
salicylic acid and acetyl glucosamine,oily,good,medium
salicylic acid and iris extract,oily,good,medium
salicylic acid and lipohydroxy acid,oily,good,medium
salicylic acid and tea tree leaf oil,oily,good,medium
salicylic acid exfoliant,oily,good,medium
salicylic and hyaluronic acids,"dry,sensitive",good,medium
salvia hispanica oil,dry,good,low
salvia of cinalis oil,dry,good,low
salvia officinalis,normal,neutral,low
salvia officinalis leaf oil,dry,good,low
sambucus nigra oil,dry,good,low
sambucus nigra seed oil,dry,good,low
santalum album wood oil,dry,good,low
santalum austrocaledonicum wood oil,dry,good,low
santalum spicata wood oil,dry,good,low
santalum spicatum wood oil,dry,good,low
santorini grapeseed oil,"pigmentation,wrinkle",good,low
saponified oils of cocos nucifera oil,dry,good,low
schisandra fruit,normal,neutral,low
sclerocarya birrea kernel oil,dry,good,low
sclerocarya birrea seed butter,dry,good,low
scottish heather,normal,neutral,low
"sd alcohol 40-b ,glycerin,butylene glycol","dry,sensitive",good,medium
sea buckthorn oil,dry,good,low
sea buckthorn oil and ceramides,"dry,sensitive",good,medium
sea flower complex,normal,neutral,low
seed oil,dry,good,low
self-neutralizing aha blend,"oily,pigmentation",good,low
serine lavandula angustifolia oil,dry,good,low
sesame seed oil,dry,good,low
sesamum lndicum seed oil,dry,good,low
seven luxe oils,dry,good,low
seven-amino blend,normal,neutral,low
sh- oligopeptide-2,wrinkle,good,low
sh- polypeptide-9,wrinkle,good,low
sh-polypeptide-123,wrinkle,good,low
shea,normal,neutral,low
