ingredient,in_skin_map,in_incidecoder,skin_types,effect,confidence,inci_source,inci_slug,inci_what_it_does,inci_details
olive oil peg-10 esters,1,0,dry,good,medium,,,,
olive oil peg-6 esters,1,0,dry,good,medium,,,,
olive oil peg-7 esters,1,0,dry; oily,good,medium,,,,
olive oil peg-8 esters,1,0,dry,good,medium,,,,
olive oil polyglyceryl-6 esters,1,0,dry,good,medium,,,,
olive oil propylene glycol esters,1,0,dry,good,medium,,,,
olive oil unsaponifiables,1,0,dry,good,medium,,,,
olive oil/olive fruit oil,1,0,dry; oily; wrinkle,good,medium,,,,
olive oil/pomegranate fruit ferment filtrate,1,0,oily,good,medium,,,,
olive polyphenols,1,0,dry; normal,good,low,,,,
olive squalane,1,0,dry,good,medium,,,,
olive-derived squalane,1,0,dry,good,medium,,,,
olivine extract,1,0,normal,good,medium,,,,
olivoyl hydrolyzed wheat protein,1,0,normal,good,medium,,,,
olus (vegetable oil,1,0,dry,good,low,,,,
olus oil,1,0,dry,good,low,,,,
olus oil (vegetable oil,1,0,dry,good,low,,,,
olus oil huile végétale,1,0,dry,good,low,,,,
olus oil vegetable oil huile végétale,1,0,dry,good,low,,,,
olus vegetable oil,1,0,dry,good,low,,,,
olus vegetable oil huile végétale,1,0,dry,good,low,,,,
olus vegetable oil huile végétale,1,0,dry,good,low,,,,
omega 3 and 6,1,0,,neutral,low,,,,
omega 3 fish oil,1,0,dry,good,low,,,,
omega fatty acids,1,0,dry; wrinkle,good,low,,,,
omega fatty acids & antioxidants water,1,0,dry; wrinkle,good,low,,,,
omega oil complex,1,0,dry,good,low,,,,
omega peptide complex,1,0,wrinkle,good,low,,,,
omega-3,1,0,dry; wrinkle,good,low,,,,
omega-9,1,0,dry; wrinkle,good,low,,,,
omega-rich algae,1,0,dry; sensitive; wrinkle,good,low,,,,
omegas 3,1,0,dry; wrinkle,good,low,,,,
omegas 3 and 6,1,0,dry; wrinkle,good,low,,,,
omental lipids,1,0,dry,good,medium,,,,
ononis arvensis root extract,1,0,oily; sensitive,good,medium,,,,
ononis spinosa root extract,1,0,oily; sensitive,good,medium,,,,
onopordum acanthium flower leaf stem extract,1,0,normal,good,low,,,,
onsen-sui,1,0,,neutral,low,,,,
onychium japonicum extract,1,0,normal,good,medium,,,,
opal powder,1,0,normal,good,medium,,,,
operculina altissima root extract,1,0,normal,good,medium,,,,
operculina turpethum leaf/stem extract,1,0,normal,good,medium,,,,
ophiopogon japonicas root extract,1,0,normal,good,low,,,,
ophiopogon japonicus root extract,1,0,sensitive,good,medium,,,,
opilia,1,0,normal,neutral,low,,,,
opilia extract,1,0,normal,good,low,,,,
oplopanax elatus callus culture extract,1,0,normal,good,medium,,,,
opoponax oil,1,0,dry,good,low,,,,
optical-diffusing silica silylate,1,0,oily,good,low,,,,
optimized surface release retinol,1,0,wrinkle,good,medium,,,,
opuntia coccinellifera flower extract,1,0,normal,good,medium,,,,
opuntia coccinellifera fruit extract,1,0,normal,good,medium,,,,
opuntia ficus indica,1,0,,neutral,low,,,,
opuntia ficus-indica callus culture extract,1,0,normal,good,low,,,,
opuntia ficus-indica extract,1,1,normal,good,low,INCI Decoder,opuntia-ficus-indica-extract,,"Prickly pear is a cactus that’s native to Mexico. It has large, sweet fruit that’s called tunas and has been used as a source of food since pre-Hispanic Mexico. Currently jams and jellies are produced from it and also a traditional Mexican alcoholic drink called colonche . But what is it doing in our skincare products? Well, according to swiss manufacturer, Mibelle its two main properties are that it soothes and hydrates the skin .  And what’s more, they have also created some nice test results both in vitro and in vivo (in the lab tubes and on humans) showing that Opuntia Ficus-Indica can protect skin cells against UV light .  And that’s still not all. An American manufacturer has combined the ingredient with yeast extract and the two together helps to reduce neurosensory irritation caused by the application of topical products such as retinoids (slow reaction), alpha hydroxy acids (fast reaction) or preservatives which induce some type of irritation or inflammation. The bottom line: though we could not really find independent published research, we definitely think that Prickly Pear’s name sounds cool + it’s a very promising ingredient that seems to have great soothing and protecting abilities.  [more]"
opuntia ficus-indica flower extract,1,0,normal,good,low,,,,
opuntia ficus-indica fruit extract,1,0,pigmentation; wrinkle,good,low,,,,
opuntia ficus-indica fruit juice,1,0,normal,good,medium,,,,
opuntia ficus-indica fruit water,1,0,dry; normal,good,medium,,,,
opuntia ficus-indica seed oil,1,0,dry,good,low,,,,
opuntia ficus-indica stem extract,1,0,wrinkle,good,medium,,,,
opuntia ficus-indica stem water,1,0,normal,good,medium,,,,
opuntia ficus-indics fruit extract,1,0,pigmentation; wrinkle,good,low,,,,
opuntia humifusa flower/stem extract,1,0,dry; normal; oily,good,medium,,,,
opuntia humifusa leaf extract,1,0,dry; oily,good,medium,,,,
opuntia humifusa stem extract,1,0,normal,good,medium,,,,
opuntia humifusa stem powder,1,0,normal,good,medium,,,,
opuntia phaeacantha fruit juice,1,0,dry,good,medium,,,,
opuntia robusta leaf juice,1,0,normal,good,medium,,,,
opuntia streptacantha flower extract,1,0,dry,good,medium,,,,
opuntia streptacantha leaf extract,1,0,normal,good,medium,,,,
opuntia streptacantha stem extract,1,0,dry,good,medium,,,,
opuntia stricta seed oil,1,0,dry; normal,good,medium,,,,
opuntia tuna extract,1,1,normal,good,low,INCI Decoder,opuntia-tuna-extract,,
opuntia tuna flower stem extract,1,1,normal,good,low,INCI Decoder,opuntia-tuna-flower-stem-extract,,
opuntia tuna flower/stem extract,1,0,normal,good,medium,,,,
opuntia tuna fruit,1,0,normal,good,medium,,,,
opuntia tuna fruit extract,1,0,pigmentation; wrinkle,good,low,,,,
opuntia tuna leaf extract,1,0,normal,good,medium,,,,
opuntia tuna stem extract,1,0,normal,good,medium,,,,
opuntia vulgaris extract,1,0,normal,good,medium,,,,
opuntia vulgaris fruit extract,1,0,normal,good,medium,,,,
opuntia vulgaris leaf extract,1,0,dry; wrinkle,good,low,,,,
or irritated skin aqua (water,1,0,normal,neutral,low,,,,
or irritation water sodium cocoyl isethionate,1,0,dry; normal; sensitive,good,low,,,,
orange,1,0,,neutral,low,,,,
orange 4,1,1,,neutral,low,INCI Decoder,ci-15510,,
orange 4 rds product name,1,0,normal,neutral,low,,,,
orange 5,1,0,normal,neutral,low,,,,
orange and green tea extracts,1,0,oily; sensitive; wrinkle,good,low,,,,
orange and lemon),1,0,sensitive,good,low,,,,
orange blossom,1,0,oily,good,medium,,,,
orange blossom essential water,1,0,oily,good,low,,,,
orange blossom peptides,1,0,wrinkle,good,low,,,,
orange extract,1,0,normal,good,low,,,,
orange fruit extract,1,0,pigmentation; wrinkle,good,low,,,,
orange fruit water,1,0,,neutral,low,,,,
orange juice,1,0,normal,neutral,low,,,,
orange juice extract,1,0,dry; sensitive,good,low,,,,
orange oil,1,0,dry,good,low,,,,
orange peel,1,0,normal,neutral,low,,,,
orange peel extract,1,0,dry; sensitive,good,low,,,,
orange peel oil,1,0,dry,good,low,,,,
orange roughy oil,1,0,normal,good,medium,,,,
orange stem cell,1,0,normal,neutral,low,,,,
orange stem cells,1,0,normal,neutral,low,,,,
orbignya martiana,1,0,dry; oily,good,medium,,,,
orbignya martiana seed oil,1,0,dry; oily,good,medium,,,,
orbignya oleifera seed oil,1,0,dry; oily; wrinkle,good,medium,,,,
orbignya oleifera seed oil peg-8 esters,1,0,normal,good,medium,,,,
orbignya phalerata seed powder,1,0,normal,good,medium,,,,
orbignya speciosa kernel oil,1,0,dry,good,medium,,,,
orbignya speciosa mesocarp extract,1,0,oily,good,medium,,,,
orchid,1,0,dry,good,medium,,,,
orchid extract,1,0,dry,good,medium,,,,
orchid root extract,1,0,dry; normal,good,medium,,,,
orchid stem cell,1,0,dry,good,low,,,,
orchis maculata flower extract,1,0,normal,good,medium,,,,
orchis mascula extract,1,0,normal,good,medium,,,,
orchis mascula flower extract,1,0,sensitive,good,medium,,,,
orchis morio flower extract,1,0,sensitive,good,medium,,,,
oregon grape root,1,0,normal,neutral,low,,,,
organic **natural,1,0,normal,neutral,low,,,,
organic acids,1,0,oily; pigmentation,good,low,,,,
organic agropyron extract,1,0,dry; sensitive,good,low,,,,
organic alcohol,1,0,dry,good,low,,,,
organic alcohol denat,1,0,,avoid,low,,,,
organic aloe barbadensis leaf extract,1,0,dry; sensitive,good,high,,,,
organic aloe barbadensis leaf juice,1,0,dry; sensitive,good,low,,,,
organic aloe leaf juice,1,0,dry; sensitive,good,medium,,,,
organic aloe vera,1,0,dry; sensitive,good,low,,,,
organic argan oil,1,0,dry,good,low,,,,
organic argania spinosa kernel oil* *organic **natural,1,0,dry,good,low,,,,
organic bilberry fruit extract,1,0,pigmentation; wrinkle,good,low,,,,
organic brassica oleracea leaf extract,1,0,dry; wrinkle,good,low,,,,
organic camellia oleifera seed oil,1,0,dry,good,low,,,,
organic camellia sinensis leaf extract,1,0,oily; wrinkle,good,high,,,,
organic caprylic capric triglyceride,1,0,dry,good,low,,,,
organic carthamus tinctorius seed oil,1,0,dry,good,low,,,,
organic centella asiatica extract,1,0,sensitive; wrinkle,good,low,,,,
organic chamomile extract,1,0,sensitive; wrinkle,good,low,,,,
organic chamomilla recutita flower extract,1,0,dry; sensitive,good,high,,,,
organic chlorella,1,0,dry; sensitive,good,low,,,,
organic citrus aurantium begamia fruit oil,1,0,dry,good,low,,,,
organic cocos nucifera oil,1,0,dry,good,low,,,,
organic cranberry fruit extract,1,0,pigmentation; wrinkle,good,low,,,,
organic desert date extract,1,0,normal,good,low,,,,
organic equisetum arvense horsetail) extract,1,0,sensitive,good,low,,,,
organic evening primrose extract,1,0,normal,good,low,,,,
organic fair-trade shea butter,1,0,dry,good,low,,,,
organic fig extract,1,0,normal,good,low,,,,
organic flavors,1,0,normal,neutral,low,,,,
organic flavors extract,1,0,dry; sensitive,good,low,,,,
organic geranium oil,1,0,dry,good,low,,,,
organic ginger extract,1,0,sensitive; wrinkle,good,low,,,,
organic glycerin,1,0,dry; normal,good,high,,,,
organic goji berry extract,1,0,normal,good,low,,,,
organic golden gentian and lemon balm extracts,1,0,normal,good,low,,,,
organic grape water,1,0,dry,good,low,,,,
organic green banana and lemon thyme,1,0,sensitive,good,low,,,,
organic guarana,1,0,normal,neutral,low,,,,
organic guarana extract,1,0,dry; sensitive,good,low,,,,
organic helianthus annuus seed oil,1,0,dry,good,low,,,,
organic honey and manuka honey,1,0,sensitive; wrinkle,good,low,,,,
organic immortelle essential oil,1,0,dry,good,low,,,,
organic lavender flower essential oil,1,0,dry,good,low,,,,
organic lavender oil** essential oil,1,0,dry,good,low,,,,
organic lemon peel extract,1,0,dry,good,low,,,,
organic mandarin oil,1,0,dry,good,low,,,,
organic mango flavor,1,0,dry,good,low,,,,
organic mauritia flexuosa fruit oil,1,0,dry,good,low,,,,
organic mct oil,1,0,dry,good,low,,,,
organic medicago sativa extract,1,0,normal,good,low,,,,
organic monk fruit powder,1,0,normal,neutral,low,,,,
organic natural mixed berry flavor,1,0,normal,neutral,low,,,,
organic oat sugars,1,0,dry; sensitive,good,low,,,,
organic oenothera biennis oil,1,0,dry,good,low,,,,
organic olea europaea fruit oil,1,0,dry,good,low,,,,
organic olea europea oil,1,0,dry,good,low,,,,
organic orange peel extract,1,0,dry,good,low,,,,
organic papaya fruit extract,1,0,pigmentation; wrinkle,good,low,,,,
organic passiflora incarnata flower extract,1,0,normal,good,low,,,,
organic patchouli oil,1,0,dry,good,low,,,,
organic prickly pear oil,1,0,dry,good,low,,,,
organic rice hulls,1,0,normal,neutral,low,,,,
organic rosehip seed oil,1,0,dry; pigmentation,good,low,,,,
organic rubus idaeus seed oil,1,0,dry,good,low,,,,
organic sea buckthorn extract,1,0,pigmentation; sensitive; wrinkle,good,low,,,,
organic shea butter,1,0,dry,good,low,,,,
organic simmondsia chinensis seed oil,1,0,dry,good,low,,,,
organic spinacia oleracea leaf extract,1,0,dry; wrinkle,good,low,,,,
organic spirulina platensis extract,1,0,normal,good,low,,,,
organic stevia leaf extract,1,0,dry; wrinkle,good,low,,,,
organic sucrose,1,0,,neutral,low,,,,
organic sucrose essential oil,1,0,dry,good,low,,,,
organic sugar cane extract,1,0,normal,good,low,,,,
organic sugar maple extract,1,0,normal,good,low,,,,
organic sunflower oil,1,0,dry,good,low,,,,
organic sweet orange peel essential oil,1,0,dry,good,low,,,,
organic watermelon flavor,1,0,dry,good,low,,,,
organic-7,1,0,normal,neutral,low,,,,
oridonin,1,0,normal,good,medium,,,,
origanum heracleoticum flower oil,1,0,dry,good,low,,,,
origanum majorana,1,0,oily,good,medium,,,,
origanum majorana leaf extract,1,1,dry; wrinkle,good,low,INCI Decoder,origanum-majorana-leaf-extract,,
origanum majorana leaf oil,1,0,dry,good,low,,,,
origanum majorana leaf water,1,0,normal,good,medium,,,,
origanum vulgare leaf,1,0,normal,good,medium,,,,
origanum vulgare leaf extract,1,0,normal,good,medium,,,,
origanum vulgare leaf oil,1,0,dry,good,low,,,,
origanum vulgare leaf/rosa centifolia flower extract,1,0,normal,good,medium,,,,
origanum vulgare oil,1,0,dry,good,low,,,,
ormenis multicaulis flower cera,1,0,dry,good,medium,,,,
ormenis multicaulis flower oil,1,0,dry,good,low,,,,
ormenis multicaulis flower wax,1,0,dry,good,low,,,,
ormenis multicaulis oil,1,1,dry,good,low,INCI Decoder,ormenis-multicaulis-oil,,
ornithine,1,0,normal,good,medium,,,,
ornithine hcl,1,0,normal,good,medium,,,,
ornithogalum umbellatum bulb extract,1,0,normal,good,medium,,,,
orobanche rapum extract,1,0,normal,good,low,,,,
orostachys japonica callus culture conditioned media,1,0,dry,good,medium,,,,
orostachys japonica callus extract,1,0,dry,good,medium,,,,
orostachys japonica extract,1,0,normal; oily,good,medium,,,,
orostachys japonica/saururus chinensis extract,1,0,dry; normal,good,medium,,,,
orotic acid,1,0,normal,good,medium,,,,
oroxylum indicum leaf/stem extract,1,0,normal,good,medium,,,,
oroxylum indicum root extract,1,0,normal,good,medium,,,,
oroxylum indicum root powder,1,0,normal,good,medium,,,,
oroxylum indicum seed extract,1,0,dry,good,medium,,,,
orthosiphon stamineus extract,1,0,normal,good,medium,,,,
orthosiphon stamineus leaf extract,1,0,normal,good,medium,,,,
oryza sativa,1,0,normal,neutral,low,,,,
oryza sativa 2,1,0,normal,neutral,low,,,,
oryza sativa bran,1,0,normal,neutral,low,,,,
oryza sativa bran cera,1,0,normal,good,medium,,,,
oryza sativa bran cera cire bran wax),1,0,normal,good,low,,,,
oryza sativa bran extract,1,1,dry,good,medium,INCI Decoder,oryza-sativa-bran-extract,,
oryza sativa bran extract bran extract,1,0,dry,good,low,,,,
oryza sativa bran extract oryza sativa bran extract,1,0,dry,good,low,,,,
oryza sativa bran oil,1,1,dry; oily,good,medium,INCI Decoder,oryza-sativa-bran-oil,,"The oil coming from the bran of rice. Similar to many other emollient plant oils, it contains several skin-goodies : nourishing and moisturizing fatty acids ( oleic acid :  40%, linoleic acid : 30%, linolenic acid :1-2%), antioxidant vitamin E , emollient sterols and potent antioxidant gamma-oryzanol .  [more]"
oryza sativa bran oil emollient,1,0,dry,good,low,,,,
oryza sativa bran oil extract,1,0,normal,good,medium,,,,
oryza sativa bran oil oryza sativa bran oil,1,0,dry,good,low,,,,
oryza sativa bran oil rice bran oil,1,0,dry,good,low,,,,
oryza sativa bran sterol,1,0,dry,good,medium,,,,
oryza sativa bran water,1,0,dry,good,low,,,,
oryza sativa bran wax,1,0,dry,good,low,,,,
oryza sativa bran/germ extract,1,0,dry; normal,good,medium,,,,
oryza sativa bran/germ oil,1,0,dry,good,medium,,,,
oryza sativa callus culture extract,1,0,normal,good,medium,,,,
oryza sativa callus extract,1,0,normal,good,medium,,,,
oryza sativa cera,1,0,dry,good,medium,,,,
oryza sativa extract,1,1,dry; pigmentation,good,medium,INCI Decoder,oryza-sativa-extract,,
oryza sativa extract oryza sativa extract,1,0,dry; pigmentation,good,low,,,,
oryza sativa germ cell culture extract,1,0,normal,good,medium,,,,
oryza sativa germ extract,1,0,normal,good,low,,,,
oryza sativa germ oil,1,0,dry,good,medium,,,,
oryza sativa hull extract,1,0,dry,good,medium,,,,
oryza sativa kernel,1,0,normal,good,medium,,,,
oryza sativa leaf extract,1,0,normal,good,medium,,,,
oryza sativa leaf/stem extract,1,0,normal,good,medium,,,,
oryza sativa lees extract,1,0,normal,good,medium,,,,
oryza sativa lees water,1,0,normal,good,medium,,,,
oryza sativa lipids,1,0,normal,good,medium,,,,
oryza sativa powder,1,0,,neutral,low,,,,
oryza sativa rice bran oil,1,0,dry; oily; wrinkle,good,medium,,,,
oryza sativa seed extract,1,0,normal,good,medium,,,,
oryza sativa seed oil,1,0,normal,good,medium,,,,
oryza sativa seed protein,1,0,normal,neutral,low,,,,
oryza sativa seed water,1,0,normal,good,medium,,,,
oryza sativa starch,1,0,oily,good,medium,,,,
oryza sativa starch starch),1,0,oily,good,low,,,,
oryzanol,1,0,wrinkle,good,medium,,,,
oryzopsis miliacea extract,1,0,normal,good,medium,,,,
orzya sativa extract,1,0,normal,good,low,,,,
osbeckia chinensis extract,1,0,normal,good,medium,,,,
oshima sakura leaf extract,1,0,dry; wrinkle,good,low,,,,
osmanthus fragrans extract,1,0,normal,good,medium,,,,
osmanthus fragrans flower extract,1,0,normal,good,low,,,,
osmanthus fragrans leaf extract,1,0,dry; normal,good,medium,,,,
osmanthus insularis leaf extract,1,0,normal,good,medium,,,,
osmolytes,1,0,normal,neutral,low,,,,
ostericum koreanum extract,1,0,normal,good,medium,,,,
osthole,1,0,normal,good,medium,,,,
ostrea edulis extract,1,0,normal,good,medium,,,,
ostrea shell extract,1,0,normal,good,medium,,,,
ostrich egg yolk extract,1,0,dry; normal,good,medium,,,,
ostrich oil,1,0,normal,good,medium,,,,
ostrya japonica leaf extract,1,0,dry; normal,good,medium,,,,
other ingredients,1,0,,neutral,low,,,,
outer 100% silk,1,0,normal,neutral,low,,,,
outer silk extract,1,0,dry; sensitive,good,low,,,,
ovotransferrin,1,0,normal,good,medium,,,,
ovum,1,0,normal,good,medium,,,,
ovum oil,1,0,dry,good,medium,,,,
oxalis acetosella extract,1,0,normal,good,medium,,,,
oxalis hedysaroides callus culture extract,1,0,dry; normal,good,medium,,,,
oxalis hedysaroides extract,1,0,normal,good,medium,,,,
oxalis hedysaroides flower,1,0,normal,good,medium,,,,
oxalis hedysaroides leaf,1,0,normal,good,medium,,,,
oxalis hedysaroides oil,1,0,dry,good,medium,,,,
oxalis tetraphylla extract,1,0,normal,good,medium,,,,
oxalis triangularis extract,1,0,normal,good,medium,,,,
oxalis triangularis oil,1,0,normal,good,medium,,,,
oxidized alpinia zerumbet stem ferment filtrate,1,0,normal,good,medium,,,,
oxidized beta-glucan,1,0,normal,good,medium,,,,
oxidized cellulose stearamide,1,0,dry,good,medium,,,,
oxidized corn oil,1,0,normal,good,medium,,,,
oxidized glutathione,1,0,dry; normal,good,medium,,,,
oxidized grape skin ferment extract,1,0,normal,good,medium,,,,
oxidized hazelnut seed oil,1,0,normal,good,medium,,,,
oxidized keratin,1,0,normal,good,medium,,,,
oxidized rice bran wax,1,0,normal,good,medium,,,,
oxidized starch acetate,1,0,normal,good,medium,,,,
oxidized starch hydroxypropyltrimonium chloride,1,0,dry; normal,good,medium,,,,
oxidized tall oil acids/neopentyl glycol copolymer,1,0,dry; normal,good,medium,,,,
oxido reductases,1,0,normal,good,medium,,,,
oxidoreductase,1,0,dry; wrinkle,good,medium,,,,
oxo azaandrostene carboxyloyl decapeptide-18,1,0,normal,good,medium,,,,
oxobenzoxazinyl naphthalene sulfoanilide,1,0,oily,good,medium,,,,
oxothiazolidinecarboxylic acid,1,0,normal,good,medium,,,,
oxybenzone,1,0,wrinkle,good,medium,,,,
oxybenzone 250%,1,0,,neutral,low,,,,
oxybenzone 300%,1,0,,neutral,low,,,,
oxycoccus palustris seed oil,1,0,dry,good,medium,,,,
oxygen,1,0,normal,good,medium,,,,
oxyria digyna callus extract,1,0,dry; normal,good,medium,,,,
oxyria digyna extract,1,0,normal,good,medium,,,,
oyster sterols,1,0,dry,good,medium,,,,
ozokerite,1,0,,neutral,low,,,,
ozonized argan oil,1,0,normal,good,medium,,,,
ozonized castor oil,1,0,normal,good,medium,,,,
ozonized glycerin,1,0,oily,good,medium,,,,
ozonized jojoba oil,1,0,dry,good,medium,,,,
ozonized linseed oil,1,0,normal,good,medium,,,,
ozonized macadamia seed oil,1,0,normal,good,medium,,,,
ozonized meadowfoam seed oil,1,0,normal,good,medium,,,,
ozonized oleic acid,1,0,dry,good,medium,,,,
ozonized olive oil,1,0,normal,good,medium,,,,
ozonized opuntia ficus-indica callus culture extract,1,0,normal,good,medium,,,,
ozonized oryza sativa callus culture extract,1,0,normal,good,medium,,,,
ozonized pereskia grandifolia callus culture extract,1,0,normal,good,medium,,,,
ozonized saccharomyces ferment lysate filtrate,1,0,normal,good,medium,,,,
ozonized sesame seed oil,1,0,normal,good,medium,,,,
ozonized sunflower seed oil,1,0,normal,good,medium,,,,
ozonized turpentine,1,0,normal,good,medium,,,,
p elisabethae,1,0,sensitive,good,medium,,,,
p-anisic acid,1,1,,neutral,low,INCI Decoder,p-anisic-acid,,"Though the official function of P-Anisic Acid is masking (meaning that it helps to mask not so nice smells in the product), according to manufacturer info it is rather used as a preservative. It is a skin friendly organic acid that works against fungi .  [more]"
paba,1,0,,neutral,low,,,,
pachyrhizus erosus root extract,1,0,normal,good,medium,,,,
pachyrhizus erosus seed extract,1,0,normal,good,medium,,,,
packette 2,1,0,normal,neutral,low,,,,
padimate o,1,0,wrinkle,good,medium,,,,
padina boryana extract,1,0,normal,good,medium,,,,
padina pavonica,1,0,,neutral,low,,,,
padina pavonica extract,1,0,dry; wrinkle,good,medium,,,,
padina pavonica thallus extract,1,1,normal,good,low,INCI Decoder,padina-pavonica-thallus-extract,,A natural extract coming from a brown alga living in the Mediterranean. It's claimed to be an anti-pollution active ingredient that acts as a protective screen against environmental pollution. It's also claimed to improve skin resistance due to stronger cell cohesion and by stimulating the synthesis of calcium-dependent cellular structures such as desmosomes and keratins. [more]
paecilomyces japonica mycelium/acorus calamus root ferment extract filtrate,1,0,dry; normal,good,medium,,,,
paecilomyces japonica mycelium/ginseng root ferment extract filtrate,1,0,dry; normal,good,medium,,,,
paecilomyces japonica mycelium/polygonum multiflorum root ferment extract filtrate,1,0,normal,good,medium,,,,
paecilomyces japonica/caragana sinica root ferment extract filtrate,1,0,dry; normal,good,medium,,,,
paecilomyces japonica/cynanchum wilfordii root ferment extract filtrate,1,0,normal,good,medium,,,,
paecilomyces japonica/deer antler ferment extract filtrate,1,0,normal,good,medium,,,,
paecilomyces japonica/panax ginseng root ferment filtrate,1,0,normal,good,medium,,,,
paecilomyces japonica/rumex coreanus root ferment extract filtrate,1,0,dry; normal,good,medium,,,,
paecilomyces japonica/saussurea involucrata ferment extract filtrate,1,0,normal,good,medium,,,,
paecilomyces japonica/trichosanthes kirilowii root ferment extract filtrate,1,0,dry; normal,good,medium,,,,
paederia foetida extract,1,0,normal,good,medium,,,,
paeonia albiflora flower,1,0,normal,good,medium,,,,
paeonia albiflora flower extract,1,0,normal,good,low,,,,
paeonia albiflora root extract,1,1,sensitive; wrinkle,good,low,INCI Decoder,paeonia-albiflora-root-extract,,
paeonia albiflora root powder,1,0,normal,good,medium,,,,
paeonia lactiflora bark/sap extract,1,0,normal,good,medium,,,,
paeonia lactiflora callus culture conditioned media,1,0,normal,good,medium,,,,
paeonia lactiflora callus culture extract,1,0,normal,good,medium,,,,
paeonia lactiflora extract,1,0,oily,good,medium,,,,
paeonia lactiflora leaf cell extract,1,0,normal,good,medium,,,,
paeonia lactiflora phytoplacenta extract,1,0,normal,good,medium,,,,
paeonia lactiflora root,1,0,normal,good,medium,,,,
paeonia lactiflora root extract,1,1,sensitive; wrinkle,good,low,INCI Decoder,paeonia-lactiflora-root-extract,,
paeonia lactiflora root powder,1,0,dry,good,medium,,,,
paeonia mascula callus extract,1,0,normal,good,medium,,,,
paeonia officinalis flower extract,1,0,normal,good,low,,,,
paeonia officinalis root extract,1,0,normal,good,medium,,,,
paeonia rockii seed oil,1,0,dry; normal,good,medium,,,,
paeonia suffruticosa bark extract,1,0,normal,good,medium,,,,
paeonia suffruticosa extract,1,0,normal,good,low,,,,
paeonia suffruticosa flower extract,1,0,normal,good,medium,,,,
paeonia suffruticosa phytoplacenta extract,1,0,normal,good,medium,,,,
paeonia suffruticosa root extract,1,1,sensitive; wrinkle,good,low,INCI Decoder,paeonia-suffruticosa-root-extract,,
paeonia suffruticosa root water,1,0,normal,good,medium,,,,
paeonia suffruticosa seed oil,1,0,dry; normal,good,medium,,,,
paeonol,1,0,normal,good,medium,,,,
pafum,1,0,normal,neutral,low,,,,
palargonium graveolens flower oil,1,0,dry,good,low,,,,
palau white clay,1,0,dry; normal,good,medium,,,,
palau white clay extract,1,0,dry,good,medium,,,,
palm acid,1,0,oily; pigmentation,good,low,,,,
palm alcohol,1,0,normal,good,medium,,,,
palm extract ; postpartum hair blend,1,0,normal,good,low,,,,
palm glyceride,1,0,dry,good,medium,,,,
palm glycerides,1,0,dry,good,medium,,,,
palm kernel acid,1,0,oily,good,medium,,,,
palm kernel alcohol,1,0,dry,good,medium,,,,
palm kernel coco glucoside,1,1,,neutral,low,INCI Decoder,palm-kernel-coco-glucoside,,
palm kernel glycerides,1,0,dry,good,medium,,,,
palm kernel wax,1,0,normal,good,medium,,,,
palm kernel/coco glucoside,1,0,normal,good,medium,,,,
palm kernelamidopropyl betaine,1,0,normal,good,medium,,,,
palm oil,1,0,dry; wrinkle,good,medium,,,,
palm oil aminopropanediol amides/esters,1,0,dry; normal,good,medium,,,,
palm oil glycereth-8 esters,1,0,dry,good,medium,,,,
palm oil methyl esters extract,1,0,normal,good,medium,,,,
palm oil oleyl esters,1,0,dry; normal,good,medium,,,,
palm oil peg-8 esters,1,0,dry,good,medium,,,,
palm oil polyglyceryl-3 esters,1,0,dry; normal,good,medium,,,,
palm oil polyglyceryl-4 esters,1,0,dry; normal,good,medium,,,,
palm oil polyglyceryl-5 esters,1,0,dry; normal,good,medium,,,,
palm oil polyglyceryl-6 esters,1,0,dry; normal,good,medium,,,,
palm-iticacid,1,0,normal,neutral,low,,,,
palmamidopropyl betaine,1,0,normal,good,medium,,,,
palmaria palmata extract,1,0,dry; sensitive; wrinkle,good,medium,,,,
palmarosa,1,0,normal,neutral,low,,,,
palmarosa oil,1,0,oily,good,medium,,,,
palmitamide,1,0,normal,good,medium,,,,
palmitamidohexadecanediol,1,0,normal,good,medium,,,,
palmitamidopropyl betaine,1,0,normal,good,medium,,,,
palmitic acid,1,0,dry,good,medium,,,,
palmitoyal carnitine,1,0,normal,neutral,low,,,,
palmitoyal carnitine extract,1,0,dry; sensitive,good,low,,,,
palmitoyl arginine,1,0,normal,good,medium,,,,
palmitoyl ascorbyl glucoside,1,0,dry,good,medium,,,,
palmitoyl camellia sinensis extract,1,0,normal,good,medium,,,,
palmitoyl carnitine,1,0,normal,good,medium,,,,
palmitoyl carnosine,1,0,dry,good,medium,,,,
palmitoyl cocoa seed extract,1,0,normal,good,medium,,,,
palmitoyl coffee bean extract,1,0,oily,good,medium,,,,
palmitoyl decapeptide-21,1,0,wrinkle,good,low,,,,
palmitoyl dipeptide- 7,1,0,wrinkle,good,low,,,,
palmitoyl dipeptide-10,1,0,wrinkle,good,medium,,,,
palmitoyl dipeptide-13,1,0,normal,good,medium,,,,
palmitoyl dipeptide-17,1,0,normal,good,medium,,,,
palmitoyl dipeptide-28 d-serine dipeptide-7 palmitamide,1,0,normal,good,medium,,,,
palmitoyl dipeptide-5 diaminobutyroyl hydroxythreonine,1,0,wrinkle,good,medium,,,,
palmitoyl dipeptide-5 diaminohy-hydroxybutyrate,1,0,wrinkle,good,low,,,,
palmitoyl dipeptide-5 diaminohydroxybutyrate,1,0,normal,good,medium,,,,
